Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
15,"Jun 06, 2023","Jan 01, 2023","Dec 31, 2024",Revised,Hoarding,97 Street NW,102 Avenue NW,102A Avenue NW,Increased Travel Time,,"West sidewalk and curb lane along 97 St SBD, 102 Ave - 102A Ave closed due to Winspear Center Expansion project.Pedestrians must detour using the east sidewalk. 97 St SBD reduced to single lane.",Winspear Center Project,Construction,Central,Road and Sidewalk,POINT (-113.486191223974 53.544007341707)
117,"Feb 08, 2024","Feb 12, 2024","Mar 31, 2025",Current,Rainbow Valley Bridge Work,Whitemud Drive,53 Avenue,122 Street,Increased Travel Time,414 Days,Traffic is split over the south bridge deck of Rainbow Valley Bridge.  Two lanes will be maintained through the construction zone.,Terwillegar Dr Proj Stage 2,Construction,Southwest,Road,POINT (-113.541167483624 53.483071866876)
117,"Feb 08, 2024","Feb 12, 2024","Mar 31, 2025",Current,Rainbow Valley Bridge Work,Whitemud Drive,53 Avenue,122 Street,Increased Travel Time,414 Days,Traffic is split over the south bridge deck of Rainbow Valley Bridge.  Two lanes will be maintained through the construction zone.,Terwillegar Dr Proj Stage 2,Construction,Southwest,Road,POINT (-113.572012146457 53.490407577573)
11,"Apr 24, 2023","Apr 24, 2023","Oct 31, 2024",Current,Single Lane Closures,34 Street NW,Whitemud Drive NW,64 Avenue NW,Travel Delays,18 Months,Roper Rd NW Closure btw 36 Street NW and 34 Street NW. Follow detour signs. Occasional two way flagging operations expected during off-peak hours only. All speed reduced accordingly. Expect travel delays. **Extended Oct31**,Road Construction,Construction,Southeast,Road,POINT (-113.393805182054 53.487183990185)
224,"Apr 09, 2024","Jan 15, 2024","May 31, 2025",Revised,99 Av Closed from 146 St - 145 St,99 Avenue NW,146 Street NW,145 Street NW,Total Closure,1 Year & 20 Weeks,99 Av is closed from 146 St to 145 St. Use other routes.,Drainage Shaft Install,Construction,Northwest,Road,POINT (-113.572779102195 53.537665627138)
1022,"Oct 17, 2024","Oct 18, 2024","Nov 04, 2024",Current,Northbound Directional Closure,103 Street NW,102 Avenue NW,103 Avenue NW,Directional Closure,2.5 Weeks,Starts Fri. Oct 18 for 2.5 weeks. 103 St NB closed from 103 Ave to the alley south of 103 Ave due to power installation. Temporary two way traffic maintained during major Rogers Place events. Local access maintained. Left turn permitted on 103 St-102 Ave,Power Installation,Construction,Central,Road,POINT (-113.497407897619 53.543013110104)
1023,"Oct 17, 2024","Oct 27, 2024","Oct 28, 2024",Current,"102 Ave Closed, 121 St - Alley E/O 121 St",102 Avenue NW,121 Street NW,120 Street NW,Total Closure,1 night (9pm - 6am),"On the night of Oct 27 (9pm - 6am), 102 Ave will be closed to traffic from 121 St to the alley east of 121 St. The east crosswalk of 102 Ave / 121 St will also be closed. The 102 Ave bike facility and sidewalks will be maintained.",Power Repair,Construction,Central,Road,POINT (-113.530835921071 53.543024341707)
1002,"Oct 17, 2024","Oct 11, 2024","Oct 22, 2024",Current,82 AV Lane Closure,82 Avenue NW,100 Street NW,99 Street NW,Increased Travel Time,12 Days,82 AV eastbound reduced to a single lane. Keep left.,Sanitary Install,Construction,Central,Road,POINT (-113.488710047195 53.518059076165)
1010,"Oct 10, 2024","Oct 16, 2024","Oct 26, 2024",Current,Road Closure,60 Street,91 Avenue,90A Avenue,Total Closure,11 Days,60 Street will be closed between 91 Avenue and 90A Avenue,Road Construction,Construction,Southeast,Road,POINT (-113.425476269143 53.525861531425)
1036,"Oct 23, 2024","Oct 24, 2024","Oct 25, 2024",Current,Yellowhead Trail closure,Yellowhead Trail NW,St Albert Trail NW,127 Street NW,Travel Delays,1 Night (9 pm - 6 am),Yellowhead Trail will be reduced to a single lane. Both directions will have up to a 15 min stoppage between the following hours. WB  - 11pm to 4am (Detour available via YHT Service Rd)EB - 12am to 4am (Detour via St Alb Tr to avoid),Overhead Sign Removal,Construction,Northwest,Road,POINT (-113.556916993673 53.581146389237)
1036,"Oct 23, 2024","Oct 24, 2024","Oct 25, 2024",Current,Yellowhead Trail closure,Yellowhead Trail NW,St Albert Trail NW,127 Street NW,Travel Delays,1 Night (9 pm - 6 am),Yellowhead Trail will be reduced to a single lane. Both directions will have up to a 15 min stoppage between the following hours. WB  - 11pm to 4am (Detour available via YHT Service Rd)EB - 12am to 4am (Detour via St Alb Tr to avoid),Overhead Sign Removal,Construction,Northwest,Road,POINT (-113.54124322478 53.580705089804)
1051,"Oct 25, 2024","Oct 25, 2024","Nov 04, 2024",Current,108 St Closure from 134 Ave to Lane North 134 Ave,108 Street NW,134 Avenue NW,135 Avenue NW,Total Closure,One Week,108 Street will be closed from 134 Ave to the Lane North of 134 Ave. Detour using alternate routes.,Utility Installation,Construction,Northeast,Road,POINT (-113.506613507976 53.594953037859)
698,"Jul 31, 2024","Sep 11, 2024","Oct 31, 2024",Revised,"103 Ave Closed, 116 St - Alley W/O 116 St",103 Avenue NW,116 Street NW,117 Street NW,Total Closure,Various - intermittent,103 Ave will be closed intermittently from 116 St to the alley west of 116 St.,Concrete Pour,Construction,Central,Road,POINT (-113.521294345157 53.544614850488)
1042,"Oct 23, 2024","Oct 23, 2024","Oct 29, 2024",Current,Reduced to one lane eastbound,23 Avenue,111 Street,109 Street,Increased Travel Time,1 Week,23 Avenue eastbound is reduced to one lane at 111 Street to 100m east of 111 Street for EPCOR Water main repair.  Turning movements maintained in all directions at 111 Street.,EPCOR watermain repair,Construction,Southwest,Road,POINT (-113.516382345588 53.453913402392)
1042,"Oct 23, 2024","Oct 23, 2024","Oct 29, 2024",Current,Reduced to one lane eastbound,23 Avenue,111 Street,109 Street,Increased Travel Time,1 Week,23 Avenue eastbound is reduced to one lane at 111 Street to 100m east of 111 Street for EPCOR Water main repair.  Turning movements maintained in all directions at 111 Street.,EPCOR watermain repair,Construction,Southwest,Road,POINT (-113.509004522862 53.453915379828)
536,"Jun 20, 2024","Jul 02, 2024","Oct 31, 2024",Revised,103 Ave Closure,103 Avenue NW,96 Street NW,97 Street NW,Total Closure,,Starts July 2. 103 Ave closed from 96 St - 97 St and alternating sidewalk closure as part of the Boyle Street Neighborhood rehab project. Detour using other route.,Boyle Street Road Rehab,Construction,Central,Road and Sidewalk,POINT (-113.483361842038 53.546404430484)
746,"Aug 13, 2024","Aug 14, 2024","Sep 09, 2024",Revised,105 St Lane Reduction,105 Street NW,Jasper Avenue NW,102 Avenue NW,Increased Travel Time,,"105 St, Jasper Ave to north of Jasper Ave reduced to single lane in each direction. East sidewalk closed, pedestrian must detour using the west sidewalk.",Utility Work,Construction,Central,Road and Sidewalk,POINT (-113.501067565682 53.540940867371)
946,"Sep 25, 2024","Sep 26, 2024","Nov 08, 2024",Revised,Southbound Manning Drive Reduced to One Lane,Manning Drive,50 Street NW,137 Avenue NW,Travel Delays,6 Weeks,Southbound Manning Drive South of 50 Street reduced to one lane.,Utility Installation,Construction,Northeast,Road,POINT (-113.421121227234 53.598982461064)
715,"Aug 06, 2024","Aug 09, 2024","Oct 31, 2024",Current,123 St Closure,123 Street NW,Stony Plain Road NW,,Total Closure,3 Months,Total Closure of 123 St on the North side of Stony Plain Road. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.534120699464 53.546659099346)
946,"Sep 25, 2024","Sep 26, 2024","Nov 08, 2024",Revised,Southbound Manning Drive Reduced to One Lane,Manning Drive,50 Street NW,137 Avenue NW,Travel Delays,6 Weeks,Southbound Manning Drive South of 50 Street reduced to one lane.,Utility Installation,Construction,Northeast,Road,POINT (-113.416951053176 53.602348975604)
1024,"Oct 17, 2024","Nov 11, 2024","Nov 11, 2024",Current,99 St Closure,99 Street NW,102 Avenue NW,102A Avenue NW,Total Closure,7 am - 1 pm,"Total closure of 99 St, 102 Av - 102A Av to accommodate the Remembrance Day Civic Centre event.",Remembrance Day Civic Centre,Special Event,Central,Road,POINT (-113.488960110942 53.543445327973)
832,"Sep 03, 2024","Oct 31, 2024","Oct 31, 2024",Revised,"123 St Closed, 102 Ave - 80m N/O Jasper Ave",123 Street NW,Jasper Avenue,102 Avenue NW,Total Closure,1 Day,"October 31, 2024: 123 St closed from 102 Ave to approx. 80m north of Jasper Ave. Local access will be maintained from Jasper Ave to the south end of the closure.",Concrete Pour,Construction,Central,Road,POINT (-113.534111732119 53.541426874292)
1026,"Oct 17, 2024","Oct 26, 2024","Oct 26, 2024",Current,Traffic Split at 111 St SW & Blackburn Dr SW,111 Street SW,Blackburn Drive SW,,Travel Delays,1 Day,"On October 26th, 111 St south of Blackburn drive will be converted to a traffic split. No left turns from westbound Blackburn Dr to southbound 111 St. One southbound lane on 111 St north of Blackburn Dr will be closed.",Road Repair,Construction,Southwest,Road,POINT (-113.516655524051 53.429426816626)
1037,"Oct 23, 2024","Oct 25, 2024","Oct 26, 2024",Current,YHT EB Delays,Yellowhead Trail NW,124 Street NW,121 Street NW,Travel Delays,1 Night (9 pm - 6 am),Yellowhead Trail EB will be reduced to a single lane. There will be up to a 15 min stoppage between 1 am - 4 am. A detour is available using 124 St NB to 126 Av WB to 127 St NB/SB.,Overhead Sign Removal,Construction,Northeast,Road,POINT (-113.525607566526 53.58070998644)
368,"Oct 03, 2024","May 15, 2024","Nov 30, 2024",Current,88 AV Total Closure,88 Avenue NW,95 Street NW,96 Street NW,Total Closure,Six + months,"88 AV, 95-96 ST closed for drainage  installation. Detour using other routes.",Drainage Install,Construction,Central,Road,POINT (-113.473089804731 53.523496185375)
1037,"Oct 23, 2024","Oct 25, 2024","Oct 26, 2024",Current,YHT EB Delays,Yellowhead Trail NW,124 Street NW,121 Street NW,Travel Delays,1 Night (9 pm - 6 am),Yellowhead Trail EB will be reduced to a single lane. There will be up to a 15 min stoppage between 1 am - 4 am. A detour is available using 124 St NB to 126 Av WB to 127 St NB/SB.,Overhead Sign Removal,Construction,Northeast,Road,POINT (-113.535941896006 53.580639535864)
910,"Sep 18, 2024","Sep 23, 2024","Oct 28, 2024",Current,Southbound 66 St Delays,66 STREET NW,41 AVENUE NW,38 AVENUE NW,Travel Delays,14 Weeks,"66 St will have a single lane closed daily from 7:00 am - 3:30 pm. For the week of Sep 23rd, The lane reduction will be in place full time including p.m. peak periods. Expect delays.",Road Work,Construction,Southeast,Road,POINT (-113.441920375641 53.478530418544)
910,"Sep 18, 2024","Sep 23, 2024","Oct 28, 2024",Current,Southbound 66 St Delays,66 STREET NW,41 AVENUE NW,38 AVENUE NW,Travel Delays,14 Weeks,"66 St will have a single lane closed daily from 7:00 am - 3:30 pm. For the week of Sep 23rd, The lane reduction will be in place full time including p.m. peak periods. Expect delays.",Road Work,Construction,Southeast,Road,POINT (-113.439235492951 53.474351295897)
859,"Sep 06, 2024","Sep 13, 2024","Nov 01, 2024",Current,Single lane closure,Terwillegar Drive,23 Avenue,Bulyea Road,Increased Travel Time,50 Days,"Beginning at 9 a.m. on Friday Sept 13, Terwillegar Drive is reduced to 2 lanes for road FAC spot repairs.  Bus lane will be closed as required for curb repairs.",Road FAC work,Construction,Southwest,Road,POINT (-113.574131884464 53.476243322796)
859,"Sep 06, 2024","Sep 13, 2024","Nov 01, 2024",Current,Single lane closure,Terwillegar Drive,23 Avenue,Bulyea Road,Increased Travel Time,50 Days,"Beginning at 9 a.m. on Friday Sept 13, Terwillegar Drive is reduced to 2 lanes for road FAC spot repairs.  Bus lane will be closed as required for curb repairs.",Road FAC work,Construction,Southwest,Road,POINT (-113.588735486627 53.4574680105)
817,"Aug 29, 2024","Aug 29, 2024","Nov 01, 2024",Current,Reduced to one lane westbound,23 Avenue,109 Street,111 Street,Increased Travel Time,65 Days,23 Avenue westbound is reduced one lane at 111 Street.  Left turns maintained westbound to southbound.,Utility work,Construction,Southwest,Road,POINT (-113.509004522862 53.453915379828)
13,"May 10, 2023","Aug 14, 2023","Oct 31, 2024",Revised,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,Long term project,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504744057038 53.546229418426)
817,"Aug 29, 2024","Aug 29, 2024","Nov 01, 2024",Current,Reduced to one lane westbound,23 Avenue,109 Street,111 Street,Increased Travel Time,65 Days,23 Avenue westbound is reduced one lane at 111 Street.  Left turns maintained westbound to southbound.,Utility work,Construction,Southwest,Road,POINT (-113.516382345588 53.453913402392)
863,"Sep 06, 2024","May 21, 2024","Oct 25, 2024",Current,Griesbach Road Construction,Griesbach Road,104 Street NW,149 Avenue NW,Total Closure,5 Months,Griesbach Road and sidewalks closed from 104 St (Sir Arthur Currie Way) to 149 Ave (Sir Arthur Currie Way),Road Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.507764610055 53.609991969235)
863,"Sep 06, 2024","May 21, 2024","Oct 25, 2024",Current,Griesbach Road Construction,Griesbach Road,104 Street NW,149 Avenue NW,Total Closure,5 Months,Griesbach Road and sidewalks closed from 104 St (Sir Arthur Currie Way) to 149 Ave (Sir Arthur Currie Way),Road Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.499786153344 53.608103890601)
702,"Jul 31, 2024","Jul 31, 2024","Oct 31, 2024",Current,88B Av Closure,88B Avenue NW,Meadowlark Road NW,159A Street NW,Total Closure,3 Months,Total closure of 88B Avenue at Meadowlark Road NW. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.594694070932 53.522115635345)
7,"Jan 12, 2023","Dec 29, 2022","Nov 20, 2024",Current,Stony Plain Road Closure,Stony Plain Road,129 Street NW,131 Street NW,Total Closure,23 Months,"Stony Plain Road will be closed from 7pm on Thursday, December 29 until November 30, 2024 for the removal and replacement of the bridge over Groat Road. Use other routes.",Bridge Structure Replacement,Construction,Northwest,Road and Sidewalk,POINT (-113.54453988402 53.547972148523)
703,"Jul 31, 2024","Aug 06, 2024","Oct 31, 2024",Current,118 St Closure,118 Street NW,104 Avenue NW,,Total Closure,3 Months,Total closure of 118 St on the North Side of 104 Av. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.524974846016 53.54621486748)
1019,"Oct 16, 2024","Nov 11, 2024","Nov 11, 2024",Current,118 Av Closure,118 Avenue NW,39 Street NW,48 Street NW,Total Closure,2.5 Hours (10 am - 12:30 pm),Closure of 118 Av to accommodate the Beverly Remembrance Day Ceremony.,Beverly Remembrance Day,Special Event,Central,Road,POINT (-113.415325325103 53.570352177046)
1019,"Oct 16, 2024","Nov 11, 2024","Nov 11, 2024",Current,118 Av Closure,118 Avenue NW,39 Street NW,48 Street NW,Total Closure,2.5 Hours (10 am - 12:30 pm),Closure of 118 Av to accommodate the Beverly Remembrance Day Ceremony.,Beverly Remembrance Day,Special Event,Central,Road,POINT (-113.401478708483 53.570365306555)
986,"Oct 21, 2024","Oct 08, 2024","Nov 01, 2024",Current,93 AV Total Closure,93 Avenue NW,94 Street NW,96 Street NW,Total Closure,3+ Weeks,93 AV closed to vehicle traffic between the alley west of 94 ST to 96 ST. Detour using other routes.,Water Install,Construction,Central,Road and Sidewalk,POINT (-113.47153545538 53.52897128609)
758,"Aug 16, 2024","Aug 19, 2024","Nov 01, 2024",Current,97 St southbound directional closure,97 Street NW,63 Avenue NW,51 Avenue NW,Directional Closure,11 Weeks,97 St from 63 Ave to 51 Ave will be directionals closed southbound for road reconstruction. Use 91 St or 99 St as detours.,Road reconstruction,Construction,Southeast,Road and Sidewalk,POINT (-113.479430414313 53.499872801481)
42,"Mar 09, 2023","Jan 01, 2024","Dec 31, 2024",Current,97 ST Total Closure,97 Street NW,79 Avenue NW,80 Avenue NW,Total Closure,One Year,"97 ST, 79-80 AV northbound and southbound closed for drainage shaft installation. Pedestrian detour as per posted signage. Local access will be maintained. Detour using other routes.",Drainage Shaft Installation,Construction,Central,Road,POINT (-113.479762569485 53.515145697861)
758,"Aug 16, 2024","Aug 19, 2024","Nov 01, 2024",Current,97 St southbound directional closure,97 Street NW,63 Avenue NW,51 Avenue NW,Directional Closure,11 Weeks,97 St from 63 Ave to 51 Ave will be directionals closed southbound for road reconstruction. Use 91 St or 99 St as detours.,Road reconstruction,Construction,Southeast,Road and Sidewalk,POINT (-113.479384287383 53.48806093274)
837,"Sep 03, 2024","Sep 04, 2024","Nov 01, 2024",Current,50 St split to east,50 Street Northbound SW,22 Avenue SW,Watt Common Eastbound SW,Major Delays,2 months,50 St SW will be split to east starting noon Sep 4 for sewer install. No northbound to westbound left turns at 22 Ave SW and Watt Common SW. Use 41 Ave SW or Ellerslie as detour,Sewer install,Construction,Southeast,Road,POINT (-113.417824881898 53.421166151062)
636,"Jul 16, 2024","Jul 22, 2024","Nov 01, 2024",Current,WB 87 Ave & 199 St - Travel Delays,87 Avenue NW,Anthony Henday Drive,199 Street NW,Travel Delays,3 Months (24/7),"Westbound 87 Ave will be closed to a single lane from Anthony Henday Dr to Lewis Farms Transit Centre 9am Monday, July 22nd to Friday, Nov 1st. Westbound traffic will be delayed. Use other routes.",Road Construction New,Construction,Northwest,Road,POINT (-113.65963960681 53.52313185697)
636,"Jul 16, 2024","Jul 22, 2024","Nov 01, 2024",Current,WB 87 Ave & 199 St - Travel Delays,87 Avenue NW,Anthony Henday Drive,199 Street NW,Travel Delays,3 Months (24/7),"Westbound 87 Ave will be closed to a single lane from Anthony Henday Dr to Lewis Farms Transit Centre 9am Monday, July 22nd to Friday, Nov 1st. Westbound traffic will be delayed. Use other routes.",Road Construction New,Construction,Northwest,Road,POINT (-113.664343272277 53.523383785046)
13,"May 10, 2023","Aug 14, 2023","Oct 31, 2024",Revised,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,Long term project,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.510218608268 53.546228613815)
30,"Oct 31, 2023","Oct 30, 2023","Oct 31, 2024",Current,106 st reduced to one lane per direction,106 Street NW,Whitemud Drive NW,47 Avenue NW,Travel Delays,Long Term Drainage Project,106st from Whitemud Dr to 47ave will be reduced to a single lane in both directions. Southbound left turning movement will be ban at 106st & 45ave intersection. Bike and vehicle traffic to share travel lanes. Speed reduced accordingly. Expect delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.50434928091 53.484791480946)
101,"Jan 31, 2024","Feb 13, 2024","Aug 01, 2025",Revised,107 Street WLRT closure,107 Street NW,102 Avenue NW,104 Avenue NW,Total Closure,Long Term Project,"107 Street, 103 Av - 104 Av SB will be closed permanantly. NB will be reduced to a single lane.107 St, 102 Av - 103 Av will be closed to all traffic except for Fire Hall Access. 103 Av at 107 St will be reduced to a single lane each way.",West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504744057038 53.546229418426)
2,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2026",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,4 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.592080655322 53.541294164463)
957,"Oct 01, 2024","Oct 07, 2024","Nov 29, 2024",Current,Reduced to one lane northbound,111 Street,9 Avenue,12 Avenue,Increased Travel Time,54 Days,111 Street is reduced to one lane northbound.,Capital Line Utility Work,Construction,Southwest,Road,POINT (-113.51825745689 53.439398577253)
957,"Oct 01, 2024","Oct 07, 2024","Nov 29, 2024",Current,Reduced to one lane northbound,111 Street,9 Avenue,12 Avenue,Increased Travel Time,54 Days,111 Street is reduced to one lane northbound.,Capital Line Utility Work,Construction,Southwest,Road,POINT (-113.517783500955 53.442796592603)
36,"Dec 11, 2023","Dec 09, 2023","Nov 02, 2024",Current,Right curb lane closure northbound,111 Street,23 Avenue,25 Avenue,Increased Travel Time,264 Days,Ongoing utility work.  Right curb lane closure northbound north of 23 Avenue.  Pedestrian detour on northeast corner.,LRT Expansion Utility Work,Construction,Southwest,Road and Sidewalk,POINT (-113.516382345588 53.453913402392)
837,"Sep 03, 2024","Sep 04, 2024","Nov 01, 2024",Current,50 St split to east,50 Street Northbound SW,22 Avenue SW,Watt Common Eastbound SW,Major Delays,2 months,50 St SW will be split to east starting noon Sep 4 for sewer install. No northbound to westbound left turns at 22 Ave SW and Watt Common SW. Use 41 Ave SW or Ellerslie as detour,Sewer install,Construction,Southeast,Road,POINT (-113.418035048579 53.413973530051)
308,"Apr 29, 2024","Apr 29, 2024","Oct 31, 2024",Current,125 St Closure,125 Street NW,Stony Plain Road NW,105 Avenue NW,Total Closure,6 Months,"125 St, Stony Plain Rd - 105 Av is closed. For more information please visit: https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.537671330307 53.547118141318)
2,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2026",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,4 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.561369862065 53.543604267429)
1029,"Oct 21, 2024","Oct 26, 2024","Oct 27, 2024",Current,Leger Way Closed,Leger Way NW,Leger Road NW,Leger Ct NW,Total Closure,2 Days,Starts Oct 26th @ 7am. Leger Way from Leger Road to Leger Ct willbe closed due to a drainage and waterline install. Pedestrians detouredto the eastside of the Leger Way. Use other routes.,Waterline Install,Construction,Southwest,Road,POINT (-113.576919934845 53.458294215124)
355,"May 10, 2024","May 25, 2024","Nov 09, 2024",Revised,Stadium Rd Closure,Stadium Road NW,107A Avenue NW,112 Avenue NW,Total Closure,See details,"Expect travel delays on a) 95 St, 106 -115 Av b) 112 Av, 82 - 95 St, c) 107A Av, 92-97 St and d) 86 St, 112 Av - Fort RdMay 25 | June 8, 14 | July 14, 28 | Aug 11, 23, 25, 31| Sept 7, 21 | Oct 5, 25 | Nov 2, 9.",Commonwealth Stadium Events,Special Event,Central,Road,POINT (-113.479258023569 53.554735241693)
5,"May 19, 2022","Jun 15, 2022","May 31, 2025",Revised,99 Av Closure,99 Avenue NW,150 Street NW,151 Street NW,Total Closure,3 Years,99 Av will be closed from 150 St - 151 St for the construction of a drainage tunnel shaft. Use other routes.*New end date and duration*,Drainage Shaft Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.579777572248 53.537718752109)
309,"Apr 30, 2024","May 07, 2024","Oct 31, 2024",Current,104 ST Summer Streets,104 Street NW,University Avenue NW,86 Avenue NW,Directional Closure,Six Months,104 ST northbound service lane closed to vehicle traffic between University AV - 86 AV. Detour using other routes.,Summer Streets,Construction,Central,Road,POINT (-113.497571724989 53.511656385631)
287,"Apr 24, 2024","May 08, 2024","Oct 31, 2024",Revised,Eastbound Victoria Park Rd Right Lane Closure,Victoria Park Road,River Valley Road,116 Street NW,Travel Delays,6 Months,"Starting May 08, the eastbound right lane of Victoria Park Rd will be closed from River Valley Rd to 116 St to allow for an on-street shared pathway. The speed of eastbound Victoria Park Rd will be reduced to 40km/hr while the pathway is in place.",Victoria Park Rd Summer Street,Special Event,Central,Road,POINT (-113.539064231768 53.538667957623)
281,"Apr 23, 2024","Apr 23, 2024","Oct 31, 2024",Current,Staged Total Closure,96 Street NW,103A Avenue NW,111 Avenue,Total Closure,6 Months,Between 95 St to 97 St and 103A Avenue to 111 Ave. And Alleys between 97 St to 102 St from 105 Ave to 110A Ave. Staged total closures as part of the McCauley nbhd rehab project.,McCauley Neighborhood Rehab,Construction,Central,Road and Sidewalk,POINT (-113.483770033606 53.547274367533)
272,"Apr 23, 2024","Apr 26, 2024","Oct 31, 2024",Current,156 St Lane Reductions,156 Street NW,Stony Plain Road NW,,Travel Delays,6 Months,Starts April 26th.Traffic will be reduced to a single lane with no left turns permitted in all 4 directions at the intersection of 156 St - Stony Plain Rd.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590326243195 53.541293189778)
1014,"Oct 11, 2024","Oct 31, 2024","Oct 31, 2024",Current,127 Street Closure,127 Street NW,111 Avenue NW,114 Avenue NW,Total Closure,5 Hours (5 pm - 10 pm),"Total closure of 127 St, 111 Av - 114 Av; 112 Av, St Albert Tr - 127 St; 128 St, 112A Av - 112 Av; 112A Av, St Albert Tr - 128 St to accommodate the 127 Street Neighborhood Halloween Event.",Special Event,Construction,Central,Road,POINT (-113.541185684451 53.558902082744)
281,"Apr 23, 2024","Apr 23, 2024","Oct 31, 2024",Current,Staged Total Closure,96 Street NW,103A Avenue NW,111 Avenue,Total Closure,6 Months,Between 95 St to 97 St and 103A Avenue to 111 Ave. And Alleys between 97 St to 102 St from 105 Ave to 110A Ave. Staged total closures as part of the McCauley nbhd rehab project.,McCauley Neighborhood Rehab,Construction,Central,Road and Sidewalk,POINT (-113.489804313809 53.559178254899)
1014,"Oct 11, 2024","Oct 31, 2024","Oct 31, 2024",Current,127 Street Closure,127 Street NW,111 Avenue NW,114 Avenue NW,Total Closure,5 Hours (5 pm - 10 pm),"Total closure of 127 St, 111 Av - 114 Av; 112 Av, St Albert Tr - 127 St; 128 St, 112A Av - 112 Av; 112A Av, St Albert Tr - 128 St to accommodate the 127 Street Neighborhood Halloween Event.",Special Event,Construction,Central,Road,POINT (-113.541178961897 53.563656874357)
306,"Apr 29, 2024","Apr 29, 2024","Oct 31, 2024",Current,127 St Closure,127 Street NW,Stony Plain Road NW,106 Avenue NW,Total Closure,6 Months,"127 St, Stony Plain Road - 105 Av is closed. Cyclist and pedestrian accomodation is maintained. For more information please visit: https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Central,Sidewalk,POINT (-113.541173014196 53.547555194176)
1015,"Oct 11, 2024","Oct 14, 2024","Oct 28, 2024",Current,96 St Total Closure,96 Street NW,105A Avenue NW,106A Avenue nW,Total Closure,2 Weeks,Starts Oct 14 for 2 weeks. 96 St closed from 105A Ave - 106A Ave as part of the neighborhood rehab project. Detour using other route.,McCauley Nhbd Rehab,Construction,Central,Road,POINT (-113.48501050413 53.54987141658)
1016,"Oct 11, 2024","Sep 13, 2024","Dec 13, 2024",Current,Yellowhead Tr Inside Lane Closures Under 97 St,Yellowhead Trail,97 Street NW,107 Street NW,Travel Delays,Three Months,Inside lane closures of Yellowhead Trail under 97 Street. Speed reduction to 50km/h.,YHT Rehab,Construction,Northeast,Road,POINT (-113.492100361271 53.581162766078)
551,"Jun 24, 2024","Jun 21, 2024","Oct 31, 2024",Current,154 St Closure,Stony Plain Road NW,154 Street NW,100 Avenue NW,Total Closure,4 months,Total closure of 154 St on the South Side of  Stony Plain Rd. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.586823853014 53.541289219291)
